iter	Passed	Remaining
1051	11911	10733
1052	11922	10722
1053	11933	10710
1054	11944	10699
1055	11955	10687
1056	11967	10676
1057	11978	10665
1058	11989	10653
1059	12000	10642
1060	12012	10631
1061	12023	10619
1062	12034	10607
1063	12045	10596
1064	12056	10584
1065	12067	10573
1066	12078	10561
1067	12089	10549
1068	12099	10537
1069	12110	10526
1070	12122	10515
1071	12133	10503
1072	12144	10491
1073	12155	10480
1074	12166	10468
1075	12177	10457
1076	12188	10445
1077	12199	10434
1078	12210	10422
1079	12221	10411
1080	12233	10399
1081	12244	10388
1082	12254	10376
1083	12265	10364
1084	12276	10353
1085	12287	10341
1086	12298	10330
1087	12309	10318
1088	12320	10306
1089	12331	10294
1090	12342	10283
1091	12352	10271
1092	12363	10259
1093	12374	10247
1094	12386	10236
1095	12396	10225
1096	12407	10212
1097	12417	10201
1098	12428	10189
1099	12438	10177
1100	12449	10165
1101	12460	10154
1102	12473	10143
1103	12484	10132
1104	12494	10119
1105	12505	10108
1106	12517	10097
1107	12528	10086
1108	12539	10074
1109	12550	10063
1110	12562	10052
1111	12572	10040
1112	12584	10028
1113	12595	10017
1114	12606	10006
1115	12617	9994
1116	12628	9982
1117	12639	9971
1118	12650	9959
1119	12661	9948
1120	12672	9936
1121	12683	9925
1122	12694	9913
1123	12705	9902
1124	12721	9894
1125	12733	9883
1126	12744	9872
1127	12755	9860
1128	12766	9849
1129	12777	9837
1130	12788	9825
1131	12798	9813
1132	12808	9801
1133	12818	9789
1134	12829	9777
1135	12839	9765
1136	12849	9753
1137	12860	9741
1138	12871	9729
1139	12882	9718
1140	12893	9706
1141	12904	9695
1142	12915	9683
1143	12926	9672
1144	12937	9660
1145	12948	9649
1146	12959	9637
1147	12970	9626
1148	12981	9614
1149	12992	9603
1150	13003	9591
1151	13014	9580
1152	13025	9568
1153	13036	9557
1154	13047	9545
1155	13057	9533
1156	13069	9522
1157	13079	9510
1158	13090	9498
1159	13101	9487
1160	13112	9475
1161	13123	9464
1162	13134	9452
1163	13145	9441
1164	13156	9429
1165	13167	9418
1166	13178	9406
1167	13188	9394
1168	13200	9383
1169	13211	9371
1170	13222	9360
1171	13233	9349
1172	13244	9337
1173	13254	9325
1174	13265	9314
1175	13276	9302
1176	13287	9291
1177	13298	9279
1178	13309	9268
1179	13320	9256
1180	13331	9245
1181	13342	9233
1182	13352	9221
1183	13363	9209
1184	13373	9198
1185	13384	9186
1186	13395	9175
1187	13406	9163
1188	13417	9151
1189	13427	9139
1190	13438	9128
1191	13454	9120
1192	13470	9112
1193	13481	9100
1194	13491	9088
1195	13503	9077
1196	13513	9065
1197	13524	9053
1198	13535	9042
1199	13546	9030
1200	13557	9019
1201	13568	9008
1202	13580	8997
1203	13591	8986
1204	13603	8974
1205	13614	8963
1206	13625	8951
1207	13635	8940
1208	13647	8928
1209	13657	8917
1210	13669	8905
1211	13679	8894
1212	13690	8882
1213	13701	8870
1214	13713	8859
1215	13724	8848
1216	13735	8837
1217	13746	8825
1218	13757	8814
1219	13768	8803
1220	13780	8791
1221	13790	8780
1222	13802	8768
1223	13813	8757
1224	13824	8745
1225	13835	8734
1226	13845	8722
1227	13856	8711
1228	13867	8699
1229	13878	8688
1230	13889	8676
1231	13900	8665
1232	13911	8653
1233	13922	8642
1234	13934	8631
1235	13945	8619
1236	13956	8608
1237	13967	8597
1238	13978	8585
1239	13989	8573
1240	13999	8562
1241	14011	8551
1242	14021	8539
1243	14032	8527
1244	14043	8516
1245	14054	8505
1246	14065	8493
1247	14076	8482
1248	14087	8470
1249	14098	8459
1250	14109	8447
1251	14120	8436
1252	14131	8424
1253	14142	8413
1254	14153	8401
1255	14164	8390
1256	14175	8379
1257	14187	8368
1258	14198	8356
1259	14209	8345
1260	14221	8334
1261	14232	8322
1262	14243	8311
1263	14255	8300
1264	14267	8289
1265	14278	8278
1266	14289	8267
1267	14301	8255
1268	14312	8244
1269	14323	8233
1270	14335	8222
1271	14346	8211
1272	14358	8199
1273	14369	8188
1274	14379	8176
1275	14390	8164
1276	14400	8153
1277	14411	8141
1278	14422	8130
1279	14434	8119
1280	14445	8107
1281	14457	8097
1282	14468	8085
1283	14479	8074
1284	14491	8063
1285	14503	8052
1286	14514	8041
1287	14525	8029
1288	14537	8018
1289	14548	8007
1290	14560	7996
1291	14571	7984
1292	14582	7973
1293	14594	7962
1294	14605	7951
1295	14617	7940
1296	14628	7929
1297	14639	7917
1298	14651	7906
1299	14662	7895
1300	14674	7884
1301	14685	7872
1302	14697	7862
1303	14709	7851
1304	14720	7839
1305	14732	7828
1306	14744	7817
1307	14755	7806
1308	14767	7795
1309	14778	7783
1310	14789	7772
1311	14801	7761
1312	14812	7750
1313	14823	7738
1314	14835	7727
1315	14845	7716
1316	14856	7704
1317	14867	7693
1318	14878	7681
1319	14889	7670
1320	14900	7658
1321	14911	7647
1322	14922	7635
1323	14933	7624
1324	14944	7613
1325	14956	7602
1326	14968	7591
1327	14979	7579
1328	14990	7568
1329	15000	7556
1330	15012	7545
1331	15023	7534
1332	15034	7522
1333	15045	7511
1334	15056	7500
1335	15068	7488
1336	15079	7477
1337	15090	7466
1338	15101	7454
1339	15112	7443
1340	15123	7432
1341	15134	7420
1342	15145	7409
1343	15157	7398
1344	15168	7386
1345	15180	7375
1346	15191	7364
1347	15202	7352
1348	15213	7341
1349	15224	7330
1350	15235	7319
1351	15246	7307
1352	15257	7296
1353	15269	7285
1354	15280	7273
1355	15291	7262
1356	15302	7251
1357	15313	7239
1358	15324	7228
1359	15336	7217
1360	15348	7206
1361	15359	7194
1362	15370	7183
1363	15382	7172
1364	15393	7161
1365	15404	7149
1366	15414	7138
1367	15426	7126
1368	15437	7115
1369	15449	7104
1370	15460	7093
1371	15472	7082
1372	15483	7070
1373	15494	7059
1374	15505	7048
1375	15517	7036
1376	15528	7025
1377	15539	7014
